date,boundary,total_adult_inpatient,used_inpatient,total_adult_confirmed_and_suspected_covid,total_adult_confirmed_covid,total_icu,used_icu,total_staffed_adult_icu,used_staffed_adult_icu,staffed_icu_adult_confirmed_and_suspected_covid,staffed_icu_adult_confirmed_covid
2020-07-31,0.0,220593.0,190263.0,10108.0,4156.0,42279.0,24201.0,29448.0,16175.0,1509.0,738.0
2020-10-16,0.0,270140.0,222892.0,11798.0,6723.0,46805.0,28299.0,36180.0,21169.0,2096.0,1374.0
2020-10-23,0.0,283883.0,223491.0,12202.0,7351.0,47199.0,28301.0,37877.0,21781.0,2340.0,1534.0
2021-01-29,0.0,311599.0,247815.0,60961.0,56226.0,47587.0,33554.0,38323.0,27311.0,11113.0,10550.0
2020-11-06,0.0,296652.0,232491.0,16386.0,11005.0,48236.0,29126.0,39344.0,22937.0,2727.0,2099.0
2020-11-13,0.0,298183.0,233879.0,20128.0,14916.0,49167.0,29202.0,39988.0,23175.0,3425.0,2711.0
2020-11-20,0.0,297685.0,229711.0,25156.0,19897.0,49605.0,29516.0,40461.0,23593.0,4634.0,3890.0
2020-11-27,0.0,300020.0,230904.0,31417.0,26123.0,51096.0,29022.0,41578.0,23495.0,5613.0,4907.0
2020-12-04,0.0,301115.0,242894.0,38894.0,33286.0,50239.0,30901.0,41175.0,24873.0,7090.0,6353.0
2020-12-11,0.0,313287.0,240368.0,45695.0,40043.0,49227.0,30784.0,40247.0,24639.0,8130.0,7352.0
2020-12-18,0.0,325120.0,237904.0,51531.0,46251.0,48957.0,30710.0,40236.0,24841.0,8581.0,7881.0
2020-12-25,0.0,320690.0,230744.0,58183.0,52846.0,48174.0,30411.0,39220.0,24695.0,9307.0,8632.0
2021-01-01,0.0,311951.0,241121.0,63407.0,57776.0,47587.0,31923.0,37779.0,25912.0,10987.0,9659.0
2021-01-08,0.0,313207.0,251747.0,66651.0,60887.0,47757.0,32986.0,37965.0,26766.0,10993.0,10333.0
2021-01-15,0.0,313405.0,252621.0,68433.0,63180.0,47764.0,33086.0,38011.0,27050.0,11467.0,10886.0
2021-01-22,0.0,313151.0,253841.0,65466.0,60656.0,47326.0,33319.0,37958.0,27168.0,11433.0,10906.0
2020-10-09,0.0,254187.0,212943.0,11023.0,6116.0,45267.0,27017.0,34016.0,19800.0,1966.0,1253.0
2020-10-02,0.0,234501.0,204147.0,9317.0,4492.0,43667.0,25793.0,30605.0,17822.0,1611.0,918.0
2020-10-30,0.0,296114.0,225874.0,13183.0,8470.0,48359.0,28755.0,39607.0,22627.0,2362.0,1782.0
2020-08-28,0.0,227069.0,198028.0,8888.0,3014.0,42712.0,24657.0,30300.0,17463.0,1259.0,610.0
2020-08-21,0.0,221407.0,192057.0,9307.0,3349.0,41092.0,23718.0,29162.0,16630.0,1386.0,664.0
2020-09-04,0.0,234713.0,201321.0,8770.0,3080.0,44394.0,25465.0,31258.0,17600.0,1326.0,695.0
2020-08-14,0.0,226498.0,193377.0,10135.0,3778.0,41474.0,23420.0,29614.0,16602.0,1407.0,664.0
2020-08-07,0.0,225260.0,191020.0,10618.0,4005.0,41918.0,23474.0,29930.0,16556.0,1495.0,671.0
2020-09-11,0.0,232869.0,206665.0,8225.0,3227.0,47132.0,25953.0,33672.0,17583.0,1321.0,718.0
2020-09-25,0.0,230366.0,208968.0,8478.0,3834.0,43215.0,26807.0,29658.0,18107.0,1467.0,821.0
2020-09-18,0.0,236071.0,209184.0,8114.0,3328.0,44282.0,26260.0,31066.0,17835.0,1354.0,799.0
2021-01-15,4.0,313405.0,252621.0,68449.0,63200.0,47764.0,33086.0,38011.0,27050.0,11483.0,10902.0
2021-01-08,4.0,313207.0,251751.0,66667.0,60903.0,47757.0,32986.0,37965.0,26766.0,11005.0,10345.0
2020-08-07,4.0,225260.0,191020.0,10650.0,4029.0,41918.0,23478.0,29930.0,16560.0,1599.0,715.0
2020-12-11,4.0,313287.0,240368.0,45703.0,40047.0,49227.0,30788.0,40247.0,24643.0,8130.0,7352.0
2021-01-01,4.0,311951.0,241121.0,63407.0,57780.0,47587.0,31923.0,37779.0,25912.0,10991.0,9663.0
2020-07-31,4.0,220593.0,190263.0,10152.0,4196.0,42279.0,24205.0,29448.0,16179.0,1585.0,794.0
2020-12-25,4.0,320690.0,230744.0,58199.0,52862.0,48174.0,30415.0,39220.0,24699.0,9311.0,8636.0
2021-01-22,4.0,313151.0,253841.0,65470.0,60664.0,47330.0,33319.0,37958.0,27168.0,11441.0,10910.0
2020-08-14,4.0,226498.0,193377.0,10163.0,3818.0,41474.0,23424.0,29618.0,16610.0,1491.0,728.0
2020-12-18,4.0,325120.0,237908.0,51539.0,46255.0,48957.0,30710.0,40236.0,24841.0,8589.0,7893.0
2020-08-21,4.0,221407.0,192057.0,9347.0,3393.0,41092.0,23722.0,29162.0,16634.0,1470.0,724.0
2020-10-02,4.0,234501.0,204151.0,9365.0,4536.0,43671.0,25793.0,30609.0,17826.0,1711.0,998.0
2020-09-25,4.0,230366.0,208972.0,8514.0,3890.0,43215.0,26807.0,29658.0,18107.0,1539.0,881.0
2020-11-27,4.0,300020.0,230904.0,31425.0,26123.0,51096.0,29022.0,41578.0,23495.0,5625.0,4931.0
2020-08-28,4.0,227069.0,198028.0,8928.0,3058.0,42712.0,24665.0,30300.0,17471.0,1323.0,662.0
2020-11-20,4.0,297685.0,229711.0,25172.0,19929.0,49605.0,29516.0,40461.0,23593.0,4658.0,3914.0
2020-11-13,4.0,298183.0,233879.0,20148.0,14932.0,49167.0,29202.0,39988.0,23175.0,3485.0,2791.0
2020-09-04,4.0,234713.0,201325.0,8838.0,3132.0,44394.0,25469.0,31258.0,17604.0,1390.0,759.0
2020-11-06,4.0,296652.0,232491.0,16422.0,11037.0,48236.0,29126.0,39344.0,22937.0,2787.0,2159.0
2020-10-30,4.0,296114.0,225874.0,13223.0,8510.0,48359.0,28755.0,39607.0,22627.0,2446.0,1866.0
2020-09-11,4.0,232869.0,206665.0,8261.0,3271.0,47132.0,25961.0,33672.0,17591.0,1381.0,798.0
2020-10-23,4.0,283883.0,223491.0,12226.0,7363.0,47199.0,28305.0,37877.0,21785.0,2412.0,1606.0
2020-10-16,4.0,270140.0,222892.0,11842.0,6759.0,46805.0,28299.0,36180.0,21173.0,2168.0,1438.0
2020-09-18,4.0,236071.0,209188.0,8158.0,3396.0,44282.0,26260.0,31066.0,17835.0,1458.0,875.0
2020-10-09,4.0,254187.0,212943.0,11083.0,6176.0,45267.0,27021.0,34016.0,19804.0,2038.0,1313.0
2020-12-04,4.0,301115.0,242894.0,38910.0,33302.0,50239.0,30901.0,41175.0,24873.0,7110.0,6373.0
2021-01-29,4.0,311599.0,247815.0,60961.0,56230.0,47587.0,33554.0,38323.0,27311.0,11133.0,10570.0
